#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_29.11.2019_18.17.21_201;848K8;Яранцев М.П.;98729112019181721202;84
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
003925;Кутина МД (CUTINA MD;0;570;02804144752710201706
005351;Аллантоин 3В;0;538;03405083272206201601
003843;Квартамин АВ (бегентримониум хлорид;0;161;03405158253001201802
025781;Краситель Chemilan Red 52 ;0;1380;07295248580209201901
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
003925;Кутина МД (CUTINA MD;0;570;02804144752710201706
005351;Аллантоин 3В;0;538;03405083272206201601
003843;Квартамин АВ (бегентримониум хлорид;0;161;03405158253001201802
025781;Краситель Chemilan Red 52 ;0;1380;07295248580209201901
