Штрихкод;ID;Артикул;Наименование;Единица;Коэффициент;
2000002512912;000045     ;;Краситель м-аминофенол (EG) (Chemibrox  MAP);кг;1;
2000002512936;000047     ;;Краситель о-аминофенол (2G);кг;1;
2000002512950;000048     ;;Краситель о-крезол  (Chemibroxс 4АОС, 5 амино орто крезол);кг;1;
2000002512967;000049     ;;Краситель п-аминофенол порошковый (Rodol P Base, Chemibrox PAP);кг;1;
2000002512974;000050     ;;Краситель ПФДА (Rodol D type J, Chemibroxc  РРD);кг;1;
2000002513001;000051     ;;Краситель резорцин  (Rodol RS, Chemibroxc RS);кг;1;
2000002416487;000094     ;;Аммоний углекислый;кг;1;
2000002416913;000096     ;;Диэтаноламиды (Комперлан КД, Амидет Б-112, Эденол ЦДЕ М,Emersense AM 8025, Коко Диэтаноламид);кг;1;
2000002417095;000097     ;;Кислота лимонная;кг;1;
2000002416609;000098     ;;Витаминный комплекс (липосентол);кг;1;
2000002496823;000099     ;;Сульфит натрия, чда;кг;1;
2000002416531;000101     ;;Бензоат натрия;кг;1;
2000002495192;000104     ;;Поливинилпирролидон (полидон);кг;1;
2000002496922;000107     ;;Трилон Б (VERSENE POWEDER Хелат NA4EDTA, DISSOLVINE, ETDA, ЭДТА) ;кг;1;
2000002416951;000108     ;;Изоаскорбат натрия;кг;1;
2000002417101;000146     ;;Кислота ортофосфорная (ОСЧ);кг;1;
2000002490753;000210     ;;Метасиликат натрия (безводный) ;кг;1;
2000002512943;000216     ;;Краситель м-крезол (3M4AP, 4AMC);кг;1;
2000002488125;000218     ;;Краситель 2,5-диаминотолуол сульфат (BLFX, Chemibrox 25 DATS);кг;1;
2000002488095;000314     ;;Краситель 1-нафтол (ERN);кг;1;
2000002488316;000315     ;;Краситель HC BLUE#2;кг;1;
2000002488330;000316     ;;Краситель HC RED#3;кг;1;
2000002488354;000317     ;;Краситель HC YELLOW#2;кг;1;
2000002512646;000323     ;;Экстракт авокадо;кг;1;
2000002509899;000334     ;;ЦСС (Hedrenol, Lanett, Калкол 8670, Нафол, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П, Nafol);кг;1;
2000002496847;000335     ;;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);кг;1;
2000002417156;000398     ;;Ксантановая камедь;кг;1;
2000002488378;000414     ;;Краситель Lowadene black#9;кг;1;
2000002512776;000415     ;;Краситель Lowadene blue#3;кг;1;
2000002512783;000416     ;;Краситель Lowadene violet#1 ;кг;1;
2000002512660;000451     ;;Цетримониум хлорид (Dehyguart, MICROCARE, ТОРКВАТ, СТС 25, СТС 50, Arguad 16-29);кг;1;
2000002512547;000465     ;;Экстракт ромашки (спиртовой);кг;1;
2000002512608;000466     ;;Экстракт зародышей пшеницы (спиртовой);кг;1;
2000002488293;000608     ;;Краситель GRAY HED (NN-BIS);кг;1;
2000002417040;000751     ;;Карбопол ULTRES 21;кг;1;
2000002489160;000753     ;;Аммиак водный;кг;1;
2000002491569;000755     ;;Олеиновая кислота (палмак 750);кг;1;
2000002512981;000763     ;;Пигмент алый 2С;кг;1;
2000001377154;000765     ;;Флонак EP-10 (IRIODIN 100, TAIZHU 1005 silver white,  N-800S);кг;1;
2000002512479;000769     ;;Эмульгин В2 (EmulginВ-2, цестопал-20М, Гиноник ССА, Ginonic CSA);кг;1;
2000002512578;000783     ;;Экстракт манго (спиртовой);кг;1;
2000002512530;000784     ;;Экстракт чайного дерева;кг;1;
2000002495482;000787     ;;Пропиленгликоль;кг;1;
;000815     ;С/П ЭСТЕЛЬ 6;"Основа Окислитель ""Эстель"" 6%, кг";кг;1;
2000002512721;000836     ;;Финдет 1618А (Findet 1618А/18, Цестопал 6М);кг;1;
2000002489092;000837     ;;Аминол (амидет А-15);кг;1;
2000002493150;000884     ;;Отдушка  Hair Queen (6960);кг;1;
2000002490913;000916     ;;Микрокар (Microcare IT, Неомид 125, Актицид МВ, Биоцид Катон LXE);кг;1;
;000962     ;С/П ЭСТЕЛЬ 9;"Основа Окислитель ""Эстель"" 9%, кг";кг;1;
2000002493167;001361     ;;"Отдушка ""AQUA""";кг;1;
2000002416920;001366     ;;Д-пантенол (D-panthenol B5, Д-Пантенол 75%);кг;1;
2000002417286;001367     ;;Лувискол (LUVISKOL 64);кг;1;
2000002416999;001402     ;;Изопропиловый спирт;кг;1;
2000002512738;001411     ;;УФ-фильтр (UV 3V sigma, Уфасорб С5, Увасорб);кг;1;
2000002416739;001533     ;;Дехитон(BetadetХР-50К,Чегина К40,Амфотенсид Б4,Лаукозол Б45,Галакси CAPBPLUS, Кокоамидопропилбетаин);кг;1;
2000002417231;001557     ;;Лаурет-2 (DEHYDOL, Гифран, Неопал МА 1.8, Синтанол АЛМ-2, Арлипон F);кг;1;
2000002417088;001567     ;;Кератин (Nutrilan Keratin W, Кера-теин В, Кера теин В-ЕХ);кг;1;
2000002416715;001590     ;;ГЭЦ (Целлосайз CP 100 MHV, Natrosol 250 HHGF, SUMITOMO SZ-25F, Tylose H200000);кг;1;
2000002491408;001601     ;;Молочная кислота;кг;1;
2000002512707;001609     ;;Хеспагель (Hyspagel 200);кг;1;
