#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_18.11.2019_16.55.01_301;965B8;Цибулько А.Л.;98718112019165501122;102
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
037803;Паста хлорофилло-каротиновая;0;1203
029518;Основа EX/T Пигмент прямого действия для волос ESTEL XTRO бирюзовый;0;450
034053;Основа LCS/1000 Шампунь для волос LUXURY COLOR ESTEL HAUTE COUTURE;0;622
009843;"""Основа Био -перманент № 2 """"Niagara""""""";0;1731
026979;Микрокар МТ;0;1375
041748;Микрокер Alcohol PEA;0;1487
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
037803;Паста хлорофилло-каротиновая;0;1203
029518;Основа EX/T Пигмент прямого действия для волос ESTEL XTRO бирюзовый;0;450
034053;Основа LCS/1000 Шампунь для волос LUXURY COLOR ESTEL HAUTE COUTURE;0;622
009843;"""Основа Био -перманент № 2 """"Niagara""""""";0;1731
026979;Микрокар МТ;0;1375
041748;Микрокер Alcohol PEA;0;1487
