#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_18.11.2019_16.55.02_201;211G9;Пардаев М.А.;98718112019165502201;108
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
024981;Основа HCC/40 Моделирующая паста-крем для волос Marcelline ESTEL HAUTE COUTURE;0;1966
017882;Основа 6/4 ESTEL HAUTE COUTURE Темно-русый медный;0;1734
000815;"""Основа Окислитель """"Эстель"""" 6%";0;1390
041810;Отдушка Maracuja&Mango 729303;0;1035
029119;Основа гель для мелирования ESTEL PLAY: CANDY PINK. Тренд 3;0;1796
028572;Основа HC/H/SP Спрей с кератином для волос водная фаза LUXURY HAIR ESTEL HAUTE COUTURE;0;1385
012627;Основа 4/75 Крем-краска De Luxe Silver;0;1598
029124;Основа  Бальзам PLAY;0;324
021110;"""Основа """"ESTEL CELEBRITY"""" тон  CL 8/44 огненно-медный""";0;710
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
024981;Основа HCC/40 Моделирующая паста-крем для волос Marcelline ESTEL HAUTE COUTURE;0;1966
017882;Основа 6/4 ESTEL HAUTE COUTURE Темно-русый медный;0;1734
000815;"""Основа Окислитель """"Эстель"""" 6%";0;1390
041810;Отдушка Maracuja&Mango 729303;0;1035
029119;Основа гель для мелирования ESTEL PLAY: CANDY PINK. Тренд 3;0;1796
028572;Основа HC/H/SP Спрей с кератином для волос водная фаза LUXURY HAIR ESTEL HAUTE COUTURE;0;1385
012627;Основа 4/75 Крем-краска De Luxe Silver;0;1598
029124;Основа  Бальзам PLAY;0;324
021110;"""Основа """"ESTEL CELEBRITY"""" тон  CL 8/44 огненно-медный""";0;710
