#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_18.11.2019_16.55.04_302;373E9;Цибулько А.Л.;98718112019165504202;111
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
030672;Основа VHC9/75 краска VINTAGE ESTEL HAUTE COUTURE ;0;745
009393;Основа 4/6 Крем-краска PRINCESS ESSEX;0;1905
016205;Основа CUW200/ST1 Cпрей-уход для волос CUREX VERSUS WINTER Защита и питание ;0;773
009649;Основа HC/1 Питательный крем для рук Soft Hand ESTEL Professional;0;395
029494;Основа NTM10/73 Тонирующая маска для волос NEWTONE ESTEL HAUTE COUTURE 10/73 Светл блонд коричн-зол;0;1438
003984;Плюракэр Е 600 (PLURACARE E600) (ПЭГ-600);0;1208
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
030672;Основа VHC9/75 краска VINTAGE ESTEL HAUTE COUTURE ;0;745
009393;Основа 4/6 Крем-краска PRINCESS ESSEX;0;1905
016205;Основа CUW200/ST1 Cпрей-уход для волос CUREX VERSUS WINTER Защита и питание ;0;773
009649;Основа HC/1 Питательный крем для рук Soft Hand ESTEL Professional;0;395
029494;Основа NTM10/73 Тонирующая маска для волос NEWTONE ESTEL HAUTE COUTURE 10/73 Светл блонд коричн-зол;0;1438
003984;Плюракэр Е 600 (PLURACARE E600) (ПЭГ-600);0;1208
