#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_18.11.2019_16.55.05_201;968H9;Егоров К.Е.;98718112019165505202;36
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
028554;Основа HC/B/SP Двухфазный спрей для волос  органическая фазаLUXURY BLOND ESTEL HAUTE COUTURE;0;1464
012633;Основа 5/56 Крем-краска De Luxe Silver;0;819
009341;Основа 88/45 Крем-краска PRINCESS ESSEX;0;607
035603;Масло крамбе;0;988
025251;Основа HF/65 ESTEL HAUTE COUTURE Фиолетово-красный;0;535
032740;Основа OSO/100 Масло-спрей для тела ESTEL ORIENT SEASON;0;201
009884;"""Основа ANT крем-краска для волос """"Anti-Yellow effect"""" (40)""";0;1311
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
028554;Основа HC/B/SP Двухфазный спрей для волос  органическая фазаLUXURY BLOND ESTEL HAUTE COUTURE;0;1464
012633;Основа 5/56 Крем-краска De Luxe Silver;0;819
009341;Основа 88/45 Крем-краска PRINCESS ESSEX;0;607
035603;Масло крамбе;0;988
025251;Основа HF/65 ESTEL HAUTE COUTURE Фиолетово-красный;0;535
032740;Основа OSO/100 Масло-спрей для тела ESTEL ORIENT SEASON;0;201
009884;"""Основа ANT крем-краска для волос """"Anti-Yellow effect"""" (40)""";0;1311
