#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_26.11.2019_19.06.34_121;364L9;Скородумов А.В.;98726112019190634122;133
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
041202;Краситель пищевой красный 4 (Понсо SX);0;1066
014809;"""Отдушка """"LUXURY 1 """" (5540)""";0;1458
018482;Молочко маное и ванили Monoi De TahitiVanilla Milk;0;1404
005362;Цинк пиритион;0;408
018274;Лаукозол L (Сойпон Л-30И;0;1087
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
041202;Краситель пищевой красный 4 (Понсо SX);0;1066
014809;"""Отдушка """"LUXURY 1 """" (5540)""";0;1458
018482;Молочко маное и ванили Monoi De TahitiVanilla Milk;0;1404
005362;Цинк пиритион;0;408
018274;Лаукозол L (Сойпон Л-30И;0;1087
