#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_26.11.2019_19.06.40_201;644F8;Никитин И.А.;98726112019190640201;148
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
008943;Краситель катионный красный RP;0;800
024993;Пигмент перламутровый 400;0;579
024260;Основа 10/36 Крем-краска De Luxe Silver;0;1134
033738;Основа CH/M Маска для рук ESTEL CHOCOLATIER;0;1894
014857;Пигмент перламутровый 411;0;1046
017861;Основа 8/36 ESTEL HAUTE COUTURE Светло-русый золотисто-фиолетовый;0;633
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity"
008943;Краситель катионный красный RP;0;800
024993;Пигмент перламутровый 400;0;579
024260;Основа 10/36 Крем-краска De Luxe Silver;0;1134
033738;Основа CH/M Маска для рук ESTEL CHOCOLATIER;0;1894
014857;Пигмент перламутровый 411;0;1046
017861;Основа 8/36 ESTEL HAUTE COUTURE Светло-русый золотисто-фиолетовый;0;633
