#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_27.11.2019_19.09.42_202;214J8;Телицын К.В.;98727112019190942202;89
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
034969;Основа EP/S100 Двухфазный спрей для волос ESTEL PRIMA;0;1021;00031209641412201802
017818;Основа 12/16 ESTEL HAUTE COUTURE Пепельно-фиолетовый блондин ультра;0;1144;00031209641412201802
028991;Основа MU475/C1 Увлажняющий крем для рук ESTEL M'USE;0;708;00031209641412201802
037505;Люффа 20 натурал (Luffa 20 Natural);0;1416;00031209641412201802
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
034969;Основа EP/S100 Двухфазный спрей для волос ESTEL PRIMA;0;1021;00031209641412201802
017818;Основа 12/16 ESTEL HAUTE COUTURE Пепельно-фиолетовый блондин ультра;0;1144;00031209641412201802
028991;Основа MU475/C1 Увлажняющий крем для рук ESTEL M'USE;0;708;00031209641412201802
037505;Люффа 20 натурал (Luffa 20 Natural);0;1416;00031209641412201802
